Reward,Win,Sprint,DateTime,Flag
571.60938,True,68,2024-06-19 17:31:28.773315,False
598.53689,True,53,2024-06-19 17:31:28.773315,False
620.91304,False,68,2024-06-19 17:31:28.773315,False
467.97373,False,64,2024-06-19 17:31:28.773315,False
482.98039,False,66,2024-06-19 17:31:28.773315,False
540.66391,False,67,2024-06-19 17:31:28.773315,False
569.00092,False,70,2024-06-19 17:31:28.773315,False
529.33769,False,67,2024-06-19 17:31:28.773315,False
551.85690,False,68,2024-06-19 17:31:28.773315,False
487.07200,False,67,2024-06-19 17:31:28.773315,False
542.19560,False,68,2024-06-19 17:31:28.773315,False
615.55335,True,56,2024-06-19 17:31:28.773315,False
647.81239,False,70,2024-06-19 17:31:28.773315,False
528.49372,False,66,2024-06-19 17:31:28.773315,False
593.10239,False,69,2024-06-19 17:31:28.773315,False
503.81968,False,66,2024-06-19 17:31:28.773315,False
471.52391,False,66,2024-06-19 17:31:28.773315,False
558.97229,False,69,2024-06-19 17:31:28.773315,False
550.89121,False,69,2024-06-19 17:31:28.773315,False
545.27131,False,68,2024-06-19 17:31:28.773315,False
587.79359,True,66,2024-06-19 17:31:28.773315,False
546.83553,True,59,2024-06-19 17:31:28.773315,False
566.78245,False,69,2024-06-19 17:31:28.773315,False
537.57604,False,68,2024-06-19 17:31:28.773315,False
550.09560,False,68,2024-06-19 17:31:28.773315,False
616.86355,False,70,2024-06-19 17:31:28.773315,False
547.45557,False,69,2024-06-19 17:31:28.773315,False
544.02369,False,68,2024-06-19 17:31:28.773315,False
528.21897,False,68,2024-06-19 17:31:28.773315,False
573.96218,False,69,2024-06-19 17:31:28.773315,False
561.44113,False,66,2024-06-19 17:31:28.773315,False
434.07667,False,62,2024-06-19 17:31:28.773315,False
613.61643,True,54,2024-06-19 17:31:28.773315,False
631.98967,False,69,2024-06-19 17:31:28.773315,False
591.04232,True,61,2024-06-19 17:31:28.773315,False
624.64624,False,69,2024-06-19 17:31:28.773315,False
566.32814,True,57,2024-06-19 17:31:28.773315,False
575.36059,False,68,2024-06-19 17:31:28.773315,False
539.01019,False,67,2024-06-19 17:31:28.773315,False
508.00395,False,66,2024-06-19 17:31:28.773315,False
653.54758,False,71,2024-06-19 17:31:28.773315,False
516.28580,False,67,2024-06-19 17:31:28.773315,False
510.72349,False,66,2024-06-19 17:31:28.773315,False
616.00441,False,70,2024-06-19 17:31:28.773315,False
606.35486,False,69,2024-06-19 17:31:28.773315,False
640.21634,False,70,2024-06-19 17:31:28.773315,False
532.23669,False,68,2024-06-19 17:31:28.773315,False
567.43842,False,68,2024-06-19 17:31:28.773315,False
559.16335,False,69,2024-06-19 17:31:28.773315,False
558.01873,False,69,2024-06-19 17:31:28.773315,False
567.74052,True,69,2024-06-19 17:31:28.773315,False
597.50361,False,70,2024-06-19 17:31:28.773315,False
618.62158,True,53,2024-06-19 17:31:28.773315,False
1067.37355,True,51,2024-06-19 17:55:33.088032,True
971.52695,True,57,2024-06-19 17:55:33.088032,True
953.57493,True,57,2024-06-19 17:55:33.088032,True
944.04350,True,61,2024-06-19 17:55:33.088032,True
1246.31225,True,47,2024-06-19 17:55:33.088032,True
950.78704,True,59,2024-06-19 17:55:33.088032,True
858.19328,False,66,2024-06-19 17:55:33.088032,True
1011.97942,True,54,2024-06-19 17:55:33.088032,True
883.62249,False,66,2024-06-19 17:55:33.088032,True
877.53944,False,65,2024-06-19 17:55:33.088032,True
840.44581,False,66,2024-06-19 17:55:33.088032,True
842.39958,False,63,2024-06-19 17:55:33.088032,True
1029.61431,True,51,2024-06-19 17:55:33.088032,True
913.39299,False,66,2024-06-19 17:55:33.088032,True
937.47455,True,62,2024-06-19 17:55:33.088032,True
726.39007,False,64,2024-06-19 17:55:33.088032,True
999.01301,True,53,2024-06-19 17:55:33.088032,True
899.87316,False,66,2024-06-19 17:55:33.088032,True
840.74728,False,65,2024-06-19 17:55:33.088032,True
970.81071,True,55,2024-06-19 17:55:33.088032,True
1111.61190,True,49,2024-06-19 17:55:33.088032,True
1041.05219,True,51,2024-06-19 17:55:33.088032,True
836.93986,False,64,2024-06-19 17:55:33.088032,True
1000.79091,True,54,2024-06-19 17:55:33.088032,True
1005.30886,True,54,2024-06-19 17:55:33.088032,True
998.80567,True,55,2024-06-19 17:55:33.088032,True
782.58204,False,65,2024-06-19 17:55:33.088032,True
976.17228,True,54,2024-06-19 17:55:33.088032,True
953.93408,True,57,2024-06-19 17:55:33.088032,True
996.73930,True,54,2024-06-19 17:55:33.088032,True
1047.90363,True,52,2024-06-19 17:55:33.088032,True
885.85440,False,66,2024-06-19 17:55:33.088032,True
876.77048,False,66,2024-06-19 17:55:33.088032,True
998.64413,True,53,2024-06-19 17:55:33.088032,True
926.08472,False,66,2024-06-19 17:55:33.088032,True
969.97821,True,57,2024-06-19 17:55:33.088032,True
895.95914,False,66,2024-06-19 17:55:33.088032,True
1060.75287,True,51,2024-06-19 17:55:33.088032,True
958.03189,True,59,2024-06-19 17:55:33.088032,True
1070.83848,True,51,2024-06-19 17:55:33.088032,True
1062.07260,True,51,2024-06-19 17:55:33.088032,True
970.54386,True,56,2024-06-19 17:55:33.088032,True
852.51752,False,65,2024-06-19 17:55:33.088032,True
873.10090,False,64,2024-06-19 17:55:33.088032,True
980.29409,True,55,2024-06-19 17:55:33.088032,True
983.17407,True,57,2024-06-19 17:55:33.088032,True
1085.61969,True,50,2024-06-19 17:55:33.088032,True
880.04200,False,65,2024-06-19 17:55:33.088032,True
982.64520,True,55,2024-06-19 17:55:33.088032,True
1054.54345,True,49,2024-06-19 17:55:33.088032,True
1026.92664,True,53,2024-06-19 17:55:33.088032,True
847.41903,False,65,2024-06-19 17:55:33.088032,True
868.54885,False,66,2024-06-19 17:55:33.088032,True
1098.78903,True,48,2024-06-19 17:55:33.088032,True
986.14730,True,56,2024-06-19 17:55:33.088032,True
902.41708,False,64,2024-06-19 17:55:33.088032,True
1119.86775,True,50,2024-06-19 17:55:33.088032,True
1031.52737,True,53,2024-06-19 17:55:33.088032,True
1057.67213,True,51,2024-06-19 17:55:33.088032,True
994.64746,True,53,2024-06-19 17:55:33.088032,True
955.25408,True,58,2024-06-19 17:55:33.088032,True
1048.94671,True,51,2024-06-19 17:55:33.088032,True
897.86313,False,65,2024-06-19 17:55:33.088032,True
879.22956,False,67,2024-06-19 17:55:33.088032,True
1050.13499,True,52,2024-06-19 17:55:33.088032,True
885.42501,False,66,2024-06-19 17:55:33.088032,True
1066.42239,True,51,2024-06-19 17:55:33.088032,True
850.32588,False,65,2024-06-19 17:55:33.088032,True
1035.65311,True,52,2024-06-19 17:55:33.088032,True
973.29519,True,56,2024-06-19 17:55:33.088032,True
872.68726,False,65,2024-06-19 17:55:33.088032,True
842.38649,False,65,2024-06-19 17:55:33.088032,True
922.18696,False,66,2024-06-19 17:55:33.088032,True
995.67299,True,54,2024-06-19 17:55:33.088032,True
913.40585,False,65,2024-06-19 17:55:33.088032,True
907.12322,False,65,2024-06-19 17:55:33.088032,True
973.41091,True,56,2024-06-19 17:55:33.088032,True
896.57134,False,66,2024-06-19 17:55:33.088032,True
1086.17675,True,50,2024-06-19 17:55:33.088032,True
729.81041,False,65,2024-06-19 17:55:33.088032,True
919.19023,False,66,2024-06-19 17:55:33.088032,True
1011.10041,True,53,2024-06-19 17:55:33.088032,True
1079.86908,True,51,2024-06-19 17:55:33.088032,True
839.02916,False,66,2024-06-19 17:55:33.088032,True
988.22852,True,54,2024-06-19 17:55:33.088032,True
1102.15662,True,50,2024-06-19 17:55:33.088032,True
995.78978,True,55,2024-06-19 17:55:33.088032,True
1009.33897,True,52,2024-06-19 17:55:33.088032,True
987.80997,True,55,2024-06-19 17:55:33.088032,True
889.12944,False,66,2024-06-19 17:55:33.088032,True
929.98386,False,66,2024-06-19 17:55:33.088032,True
778.07133,False,65,2024-06-19 17:55:33.088032,True
744.23654,False,64,2024-06-19 17:55:33.088032,True
835.16634,False,65,2024-06-19 17:55:33.088032,True
916.56201,False,66,2024-06-19 17:55:33.088032,True
963.95023,True,57,2024-06-19 17:55:33.088032,True
785.31677,False,64,2024-06-19 17:55:33.088032,True
943.51799,True,60,2024-06-19 17:55:33.088032,True
978.65286,True,57,2024-06-19 17:55:33.088032,True
1082.82180,True,51,2024-06-19 17:55:33.088032,True
